dates,usernames,handles,tweets,negative,neutral,positive,return
2015-04-05,Donald J. Trump,@realDonaldTrump,"Apr 5, 2015 I wish everyone, including the haters and losers, a very happy Easter! 3,397 37.6K 37.2K",0.0462657287716865,0.1151239052414894,0.8386103510856628,0.0272016836952231
2017-08-30,"Aksel Kibar, CMT",@TechCharts,"Aug 30, 2017 Consider TechCharts Membership- Weekly Global Equity Reports, breakout alerts, Educational Video - Classic Charting. https://blog.techcharts.net 62 36 271 Show this thread",0.0261227842420339,0.9098467826843262,0.0640303343534469,-0.0029963212183454
2017-08-30,"Aksel Kibar, CMT",@TechCharts,"Aug 30, 2017 Consider TechCharts Membership- Weekly Global Equity Reports, breakout alerts, Educational Video - Classic Charting. https://blog.techcharts.net 62 36 271 Show this thread",0.0261227842420339,0.9098467826843262,0.0640303343534469,-0.0029963212183454
2019-04-02,Bluntz,@Bluntz_Capital,"Apr 2, 2019 the only time the entire bear market i called bottoms.  if your're gonna do it, do it once, do it right and do it 6 months in advance   $btc Bluntz @Bluntz_Capital · Jun 22, 2018 Im calling a bottom at exactly 3.2k with a 200 dollar leeway either side.  Will retweet the shit outta this when it happens.  k thx bye   $BTC #BEARISH Show this thread 892 299 3,055 Show this thread",0.350510686635971,0.4911148846149444,0.1583744287490844,0.1735601357404375
2019-11-08,Bob Loukas,@BobLoukas,"Nov 8, 2019 Traders generally see good to decent results in a bull market, regardless of the process they follow.  Even a non-existent or poor process can be successful in such times.  How you perform over a full market cycle is what matters. 21 48 487",0.0129010481759905,0.2250769287347793,0.7620220184326172,-0.0499247469674076
2020-08-13,Cred,@CryptoCred,"Aug 13, 2020 $ETH below $400: Russian asset scam coin. Unknown supply world supercomputer failed experiment with high fees. Cryptokitties and leveraged trading liquidations.   $ETH above $400: Base layer of decentralised finance. Revolutionary technology. Vitalik for Nobel Peace Prize. 29 123 1,321",0.335798442363739,0.5505831241607666,0.1136185303330421,0.0171950151113047
2020-08-14,Cred,@CryptoCred,"That's my one good call done for the year. Cred @CryptoCred · Aug 13, 2020 Longed $ETH at $417.  Call me Gainzy in Amsterdam because I'm buying top. 23 12 440",0.0023985195439308,0.0933034569025039,0.9042978882789612,-0.0012955213149429
2020-08-14,Cred,@CryptoCred,"That's my one good call done for the year. Cred @CryptoCred · Aug 13, 2020 Longed $ETH at $417.  Call me Gainzy in Amsterdam because I'm buying top. 23 12 440",0.0023985195439308,0.0933034569025039,0.9042978882789612,-0.0012955213149429
2020-08-16,Cred,@CryptoCred,"$BTC $ETH $ETHBTC 94 101 1,170",0.0450138226151466,0.8948204517364502,0.0601656846702098,0.0022843551383793
2020-08-16,Cred,@CryptoCred,Technicals: Good   Gut feeling: Nuke this trash   Day: Sunday    Solution: Going outside for a walk & avoiding big positions    (Swear on my life I am never using this greasy tweet format again I’m so sorry) 20 16 349,0.5472080707550049,0.3295009434223175,0.1232910007238388,0.0022843551383793
2020-08-16,Cred,@CryptoCred,Not sure why there was so much salt in my first $BTC post.  I think a 200 point move for an intraday trade on BTC/USD is totally reasonable and worth pursuing if invalidation is nearby.  Removed that cesspit. Here's the same tweet with the chart this time.  $11800s pivot 17 24 258,0.1284610778093338,0.5405029654502869,0.3310360014438629,0.0022843551383793
2020-08-16,Cred,@CryptoCred,Guess I'm making a video.  Stay tuned. 4 8 75,0.0161852892488241,0.8009821176528931,0.182832658290863,0.0022843551383793
2020-08-16,Cred,@CryptoCred,"$BTC $ETH $ETHBTC 94 101 1,170",0.0450138226151466,0.8948204517364502,0.0601656846702098,0.0022843551383793
2020-08-16,Cred,@CryptoCred,Technicals: Good   Gut feeling: Nuke this trash   Day: Sunday    Solution: Going outside for a walk & avoiding big positions    (Swear on my life I am never using this greasy tweet format again I’m so sorry) 20 16 349,0.5472080707550049,0.3295009434223175,0.1232910007238388,0.0022843551383793
2020-08-16,Cred,@CryptoCred,Not sure why there was so much salt in my first $BTC post.  I think a 200 point move for an intraday trade on BTC/USD is totally reasonable and worth pursuing if invalidation is nearby.  Removed that cesspit. Here's the same tweet with the chart this time.  $11800s pivot 17 24 258,0.1284610778093338,0.5405029654502869,0.3310360014438629,0.0022843551383793
